Name,Age,Occupation,Hometown,Height,ElimWeek,Season,Year,Minority,hi
Alexis,23,Aspiring Dolphin Trainer,"Secaucus, NJ",66,5,21,2017,N,
Angela,26,Model,"Greenville, SC",67,1,21,2017,N,30
Astrid,26,Plastic Surgery Office Manager,"Tampa, FL",67.5,4,21,2017,N,
Briana,28,Surgical Unit Nurse,"Salt Lake City, UT",64,1,21,2017,N,
Brittany,26,Travel Nurse,"Santa Monica, CA",62,3,21,2017,N,0
Christen,25,Wedding Videographer,"Tulsa, OK",65,3,21,2017,N,
Corinne,24,Business Owner,"Miami, FL",61,8,21,2017,N,
Danielle L.,27,Small Business Owner,"Los Angeles, CA",65,6,21,2017,N,
Danielle M.,31,Neonatal Nurse,"Nashville, TN",70,7,21,2017,N,
Dominique,25,Restaurant Server,"Los Angeles, CA",64,3,21,2017,M,
Liz,29,Doula,"Las Vegas, NV",64,2,21,2017,N,
Elizabeth,24,Marketing Manager,"Dallas, TX",67,2,21,2017,N,
Hailey,23,Photographer,"Vancouver, British Columbia, Canada",67,2,21,2017,N,
Ida Marie,23,Sales Manager,"Harlingen, TX",68,1,21,2017,N,
Jaimi,28,Chef,"New Orleans, LA",62,5,21,2017,M,
Jasmine B.,25,Flight Attendant,"Tacoma, WA",62.5,1,21,2017,M,
Jasmine G.,29,Pro Basketball Dancer,"San Francisco, CA",67,6,21,2017,M,
Josephine,24,Registered Nurse,"Santa Cruz, CA",67.75,5,21,2017,N,
Kristina,24,Dental Hygienist,"Lexington, KY",62,7,21,2017,N,
Lacey,25,Digital Marketing Manager,"Manhattan, NY",63,2,21,2017,N,
Lauren,30,Law School Graduate,"Naples, FL",67,1,21,2017,N,
Michelle,24,Food Truck Owner,"Los Angeles, CA",61,1,21,2017,M,
Olivia,25,Apparel Sales Representative,"Anchorage, AK",67,1,21,2017,M,
Rachel,31,Attorney,"Dallas, TX",64,9,21,2017,M,
Raven,25,Fashion Boutique Owner,"Hoxie, AR",66,,21,2017,N,
Sarah,26,Grade School Teacher,"Newport Beach, CA",65,4,21,2017,N,
Susannah,26,Account Manager,"San Diego, CA",66,1,21,2017,M,
Taylor,23,Mental Health Counselor,"Seattle, WA",64,5,21,2017,N,
Vanessa,29,Special Education Teacher,"Montreal, Quebec, Canada",63.5,,21,2017,N,
Whitney,25,Pilates Instructor,"Chanhassen, MN",68,6,21,2017,N,
Lauren Bushnell,25,Flight Attendant,"West Linn, Oregon",,,20,2016,N,
"Joelle ""JoJo"" Fletcher",24,Real Estate Developer,"Dallas, Texas",,10,20,2016,M,
Caila Quinn,24,Software Sales Representative,"Hudson, Ohio",,9,20,2016,M,28
Amanda Stanton,25,Esthetician,"Rancho Santa Margarita, California",,8,20,2016,N,
Becca Tilley,26,Chiropractic Assistant,"Shreveport, Louisiana",,7,20,2016,N,
Emily Ferguson,23,Waitress,"Las Vegas, Nevada",,7,20,2016,N,
Lauren Himle,25,Kindergarten Teacher,"Dexter, Michigan",,6,20,2016,N,
Olivia Caridi,23,Former News Anchor,"Bristol, Virginia",,6,20,2016,N,
Leah Block,25,Event Planner,"Greenwood Village, Colorado",,6,20,2016,N,
Jennifer Saviano,25,Small Business Owner,"Lauderdale Lakes, Florida",,5,20,2016,N,
Jubilee Sharpe,24,War Veteran,"Fort Lauderdale, Florida",,5,20,2016,M,
Amber James,30,Bartender,"Kankakee, Illinois",,4,20,2016,M,
Rachel Tchen,23,Unemployed,"Little Rock, Arkansas",,4,20,2016,N,
Haley Ferguson,23,Waitress,"Las Vegas, Nevada",,4,20,2016,N,
Jami Letain,23,Bartender,"St. Albert, Alberta",,3,20,2016,M,
Shushanna Mkrtychyan,27,Mathematician,"Salt Lake City, Utah",,3,20,2016,N,
Lace Morris,25,Real Estate Agent,"Denver, Colorado",,3,20,2016,N,
"Amanda ""Mandi"" Kremer",28,Dentist,"Portland, Oregon",,2,20,2016,N,
"Jacqueline ""Jackie"" Dion",23,Gerontologist,"Newport Beach, California",,2,20,2016,N,
Samantha Passmore,26,Attorney,"New Smyrna Beach, Florida",,2,20,2016,N,
"Lauren ""LB"" Barr",23,Fashion Buyer,"Stillwater, Oklahoma",,2,20,2016,N,
Breanne Rice,30,Nutritional Therapist,"Seattle, Washington",,1,20,2016,N,
"Isabel ""Izzy"" Goodkind",24,Graphic Designer,"Branford, Connecticut",,1,20,2016,N,
Jessica Moser,23,Accountant,"Boca Raton, Florida",,1,20,2016,N,
Laura Esselman,24,Account Executive,"Louisville, Kentucky",,1,20,2016,N,
Lauren Russell,26,Math Teacher,"Houston, Texas",,1,20,2016,N,
Maegan Miller,30,Cowgirl,"Visalia, California",,1,20,2016,N,
Tiara Soleim,27,Chicken Enthusiast,"Redmond, Washington",,1,20,2016,N,
Whitney Bischoff,29,Fertility Nurse,"Louisville, Kentucky",,,19,2015,N,
Becca Tilley,25,Chiropractic Assistant,"Shreveport, Louisiana",,10,19,2015,N,
Kaitlyn Bristowe,29,Dance Instructor,"Leduc, Alberta",,9,19,2015,N,
Jade Roper,28,Cosmetics Developer,"Gering, Nebraska",,8,19,2015,N,
Carly Waddell,29,Cruise Ship Singer,"Arlington, Texas",,7,19,2015,N,
Britt Nilsson,27,Waitress,"Wolcott Mills, Michigan",,7,19,2015,N,
Megan Bell,24,Make-Up Artist,"Nashville, Tennessee",,6,19,2015,N,
Kelsey Poe,28,Guidance Counselor,"Hudsonville, Michigan",,6,19,2015,N,
Ashley Iaconetti,26,Nanny/Freelance Journalist,"Great Falls, Virginia",,6,19,2015,N,
Mackenzie Deonigi,21,Dental Assistant,"Maple Valley, Washington",,5,19,2015,N,
Samantha Steffen,27,Fashion Designer,"Indianapolis, Indiana",,5,19,2015,N,30
Ashley Salter,24,Hair Stylist,"Vinings, Georgia",,4,19,2015,N,
Juelia Kinney,30,Esthetician,"Beaverton, Oregon",,4,19,2015,N,
Nikki Delventhal,26,Former NFL Cheerleader,"Hasbrouck Heights, New Jersey",,4,19,2015,N,
Jillian Anderson,25,News Producer,"Howland, Ohio",,4,19,2015,N,
Amber James,29,Bartender,"Kankakee, Illinois",,3,19,2015,M,
Tracy Darakis,29,Fourth Grade Teacher,"Wellington, Florida",,3,19,2015,N,
Trina Scherenberg,33,Special Education Teacher,"Algonquin, Illinois",,3,19,2015,N,
