ranking,season,leading role race,winner female race,details
1,13,White,White,
2,20,White,White,
3,17,White,Mixed,Filipino American
4,11,White,,
5,22,White,White,
6,15,White,White,
7,3,White,White,
8,23,White,White,
9,5,White,White,
10,2,White,White,
11,21,White,White,
12,24,White,White,
13,14,White,White,
14,16,White,White,
15,4,White,White,
16,19,White,White,
17,7,White,White,
18,25,African American,White,
19,18,Hispanic/Latino,White,
20,12,White,Mixed,Hispanic
21,10,White,Mixed,Asian
22,8,White,White,
23,1,White,White,
24,6,White,Hispanic/Latino,
25,9,White,White,
